"UserID"|"Exposuredate"|"AdvertiserID"|"Zone"|"CreativeID"|"Creativesize"|"CreativeSizeDesc"|"DomainPlacement"|"NetworkPlacement"|"DeviceTypeID"|"CampaignID"|"CT"|"CountExposures"|"Lineitemid"
"77758566"|"20170703"|"148373533"|"skinhairnails/beauty"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"5"|"247"|"0"|"1"|"4355252134"
"77760840"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"5"|"247"|"0"|"1"|"4355252134"
"77820794"|"20170703"|"148373533"|"generalwellness/weightmanagement"|"113313433693"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"-1"|"247"|"0"|"1"|"4355252134"
"77820794"|"20170703"|"148373533"|"generalwellness/weightmanagement"|"113313438493"|"300x600"|""|"Everyday Health"|"ROH"|"-1"|"247"|"0"|"1"|"4355252134"
"77820794"|"20170703"|"148373533"|"generalwellness/weightmanagement"|"113313439213"|"728x90"|"Leaderboard"|"Everyday Health"|"ROH"|"-1"|"247"|"0"|"1"|"4355252134"
"77858570"|"20170703"|"148373533"|"generalwellness/general"|"113313433693"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"1"|"247"|"0"|"1"|"4355252134"
"77858570"|"20170703"|"148373533"|"generalwellness/general"|"113313438493"|"300x600"|""|"Everyday Health"|"ROH"|"1"|"247"|"0"|"1"|"4355252134"
"77881849"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"5"|"247"|"0"|"1"|"4355252134"
"77959244"|"20170703"|"148373533"|"generalwellness/general"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"2"|"247"|"0"|"1"|"4355252134"
"77976763"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"5"|"247"|"0"|"1"|"4355252137"
"78004797"|"20170703"|"148373533"|"generalwellness/weightmanagement"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"4"|"247"|"0"|"1"|"4355252137"
"78059649"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"2"|"247"|"0"|"1"|"4355426121"
"78069069"|"20170703"|"148373533"|"generalwellness/recipes"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"2"|"247"|"1"|"1"|"4355252134"
"78073476"|"20170703"|"148373533"|"skinhairnails/beauty"|"113313433693"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"-1"|"247"|"0"|"1"|"4355252140"
"78086510"|"20170703"|"148373533"|"womenshealth/general"|"113313433693"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"1"|"247"|"0"|"1"|"4355252140"
"78124097"|"20170703"|"148373533"|"skinhairnails/beauty"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"2"|"247"|"0"|"1"|"4355252134"
"78200546"|"20170703"|"148373533"|"generalwellness/weightmanagement"|"113313433693"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"-1"|"247"|"0"|"1"|"4355252134"
"78201288"|"20170703"|"148373533"|"digestive/general"|"113313439213"|"728x90"|"Leaderboard"|"Everyday Health"|"ROH"|"1"|"247"|"0"|"1"|"4355252134"
"78201288"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313433693"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"1"|"247"|"0"|"8"|"4355252134"
"78201288"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313438493"|"300x600"|""|"Everyday Health"|"ROH"|"1"|"247"|"0"|"8"|"4355252134"
"78201288"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313439213"|"728x90"|"Leaderboard"|"Everyday Health"|"ROH"|"1"|"247"|"0"|"2"|"4355252134"
"78201288"|"20170703"|"148373533"|"generalwellness/family/ampbase1"|"113313433693"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"1"|"247"|"0"|"1"|"4355252134"
"78201288"|"20170703"|"148373533"|"generalwellness/family/ampbase1"|"113313438493"|"300x600"|""|"Everyday Health"|"ROH"|"1"|"247"|"0"|"1"|"4355252134"
"78261909"|"20170703"|"148373533"|"cardio/heartdisease"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"2"|"247"|"0"|"2"|"4355252146"
"78295394"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313433693"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"1"|"247"|"0"|"1"|"4355426121"
"78295394"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313433693"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"1"|"247"|"0"|"3"|"4355252143"
"78295394"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313438493"|"300x600"|""|"Everyday Health"|"ROH"|"1"|"247"|"0"|"2"|"4355426121"
"78394484"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"5"|"247"|"0"|"1"|"4355252137"
"78417032"|"20170703"|"148373533"|"generalwellness/weightmanagement"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"5"|"247"|"0"|"1"|"4355252134"
"78430845"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"5"|"247"|"0"|"1"|"4355252137"
"78462460"|"20170703"|"148373533"|"sexualhealth/general"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"2"|"247"|"0"|"1"|"4355252134"
"78462578"|"20170703"|"148373533"|"skinhairnails/beauty"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"5"|"247"|"0"|"1"|"4355252137"
"78515971"|"20170703"|"148373533"|"womenshealth/birthcontrol"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"5"|"247"|"0"|"1"|"4355252137"
"78543540"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313433693"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"1"|"247"|"0"|"2"|"4355252143"
"78543540"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313433693"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"1"|"247"|"0"|"5"|"4355426121"
"78543540"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313438493"|"300x600"|""|"Everyday Health"|"ROH"|"1"|"247"|"0"|"2"|"4355426121"
"78543540"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313438493"|"300x600"|""|"Everyday Health"|"ROH"|"1"|"247"|"0"|"3"|"4355252143"
"78543540"|"20170703"|"148373533"|"skinhairnails/beauty"|"113313433693"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"1"|"247"|"0"|"2"|"4355252140"
"78602493"|"20170703"|"148373533"|"generalwellness/general"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"5"|"247"|"0"|"2"|"4355252134"
"78602542"|"20170703"|"148373533"|"cardio/heartattack"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"5"|"247"|"0"|"1"|"4355252134"
"78620777"|"20170703"|"148373533"|"cardio/afib"|"113313433693"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"1"|"247"|"0"|"4"|"4355252134"
"78620777"|"20170703"|"148373533"|"cardio/afib"|"113313438493"|"300x600"|""|"Everyday Health"|"ROH"|"1"|"247"|"0"|"3"|"4355252134"
"78620777"|"20170703"|"148373533"|"healthyliving/recipes"|"113313433693"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"1"|"247"|"0"|"1"|"4355252134"
"78620777"|"20170703"|"148373533"|"healthyliving/recipes"|"113313439213"|"728x90"|"Leaderboard"|"Everyday Health"|"ROH"|"1"|"247"|"0"|"1"|"4355252134"
"78682928"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313433693"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"1"|"247"|"0"|"1"|"4355252134"
"78724472"|"20170703"|"148373533"|"generalwellness/general"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"5"|"247"|"0"|"1"|"4355252134"
"78762063"|"20170703"|"148373533"|"generalwellness/weightmanagement"|"113313433693"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"-1"|"247"|"0"|"1"|"4355252140"
"78828786"|"20170703"|"148373533"|"bonesjoints/arthritisrheumatoid"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"5"|"247"|"0"|"2"|"4355252134"
"78834266"|"20170703"|"148373533"|"skinhairnails/beauty"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"5"|"247"|"0"|"1"|"4355252134"
"78840461"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313433693"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"-1"|"247"|"0"|"1"|"4355252143"
"78840461"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313438493"|"300x600"|""|"Everyday Health"|"ROH"|"-1"|"247"|"0"|"1"|"4355426121"
"78840461"|"20170703"|"148373533"|"generalwellness/healthyliving"|"113313433693"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"-1"|"247"|"0"|"1"|"4355252143"
"78840461"|"20170703"|"148373533"|"generalwellness/healthyliving"|"113313438493"|"300x600"|""|"Everyday Health"|"ROH"|"-1"|"247"|"0"|"1"|"4355426121"
"78840461"|"20170703"|"148373533"|"generalwellness/healthyliving"|"113313439213"|"728x90"|"Leaderboard"|"Everyday Health"|"ROH"|"-1"|"247"|"0"|"1"|"4355252143"
"78840461"|"20170703"|"148373533"|"generalwellness/healthyliving"|"113313439213"|"728x90"|"Leaderboard"|"Everyday Health"|"ROH"|"-1"|"247"|"0"|"1"|"4355426121"
