"NewsletterID"|"UserID"|"SendDate"|"ClickDate"|"UrlID"|"ArticleType"|"EditorialContentType"|"Clicks"|"CampaignID"|"Zone"
"26"|"60684261"|"20170704"|"20170705"|"4005983"|"Lifestyle-Symptom Management"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"60684261"|"20170704"|"20170705"|"96095349"|"Lifestyle-Symptom Management"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"60717939"|"20170704"|"20170705"|"4012804"|"Lifestyle-General"|"CuSo Article 3.0"|"1"|"240"|"/cs/farxiga"
"26"|"60717939"|"20170704"|"20170705"|"96095179"|"Lifestyle-General"|"CuSo Article 3.0"|"1"|"240"|"/cs/farxiga"
"26"|"60777128"|"20170621"|"20170705"|"4012804"|"Lifestyle-General"|"CuSo Article 3.0"|"2"|"240"|"/cs/farxiga"
"26"|"60777128"|"20170621"|"20170705"|"95743410"|"Lifestyle-General"|"CuSo Article 3.0"|"1"|"240"|"/cs/farxiga"
"26"|"60865540"|"20170704"|"20170705"|"4012193"|""|""|"1"|"240"|"/cs/farxiga"
"26"|"60865540"|"20170704"|"20170705"|"96098026"|""|""|"1"|"240"|"/cs/farxiga"
"26"|"60917652"|"20170627"|"20170705"|"4011970"|"Treatment-General"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"60917652"|"20170627"|"20170705"|"95899897"|"Treatment-General"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"60948131"|"20170705"|"20170705"|"4007385"|"Lifestyle-Fitness"|"Landing"|"2"|"240"|"/cs/farxiga"
"26"|"60948131"|"20170705"|"20170705"|"96125979"|"Lifestyle-Fitness"|"Landing"|"2"|"240"|"/cs/farxiga"
"26"|"61072740"|"20170705"|"20170705"|"4010633"|"Lifestyle-General"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"61072740"|"20170705"|"20170705"|"96124923"|"Lifestyle-General"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"61076784"|"20170705"|"20170705"|"4007209"|"Lifestyle-Nutrition"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"61076784"|"20170705"|"20170705"|"96127587"|"Lifestyle-Nutrition"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"61132705"|"20170705"|"20170705"|"4011970"|"Treatment-General"|"Landing"|"2"|"240"|"/cs/farxiga"
"26"|"61132705"|"20170705"|"20170705"|"96125065"|"Treatment-General"|"Landing"|"2"|"240"|"/cs/farxiga"
"26"|"61157727"|"20170705"|"20170705"|"4010633"|"Lifestyle-General"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"61157727"|"20170705"|"20170705"|"96124923"|"Lifestyle-General"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"61200831"|"20170628"|"20170705"|"4005787"|"Lifestyle-Symptom Management"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"61200831"|"20170628"|"20170705"|"95926655"|"Lifestyle-Symptom Management"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"61215813"|"20170704"|"20170705"|"4012804"|"Lifestyle-General"|"CuSo Article 3.0"|"1"|"240"|"/cs/farxiga"
"26"|"61215813"|"20170704"|"20170705"|"96095179"|"Lifestyle-General"|"CuSo Article 3.0"|"1"|"240"|"/cs/farxiga"
"26"|"61225333"|"20170702"|"20170705"|"4012804"|"Lifestyle-General"|"CuSo Article 3.0"|"1"|"240"|"/cs/farxiga"
"26"|"61225333"|"20170702"|"20170705"|"96037356"|"Lifestyle-General"|"CuSo Article 3.0"|"1"|"240"|"/cs/farxiga"
"26"|"61259598"|"20170630"|"20170705"|"4012804"|"Lifestyle-General"|"CuSo Article 3.0"|"1"|"240"|"/cs/farxiga"
"26"|"61259598"|"20170630"|"20170705"|"95985246"|"Lifestyle-General"|"CuSo Article 3.0"|"1"|"240"|"/cs/farxiga"
"26"|"61259598"|"20170701"|"20170705"|"4011970"|"Treatment-General"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"61259598"|"20170701"|"20170705"|"96011866"|"Treatment-General"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"61274163"|"20170704"|"20170705"|"4012195"|"Lifestyle-Work/Leisure"|"CuSo Article"|"1"|"240"|"/cs/farxiga"
"26"|"61274163"|"20170704"|"20170705"|"96098700"|"Lifestyle-Work/Leisure"|"CuSo Article"|"1"|"240"|"/cs/farxiga"
"26"|"61338340"|"20170705"|"20170705"|"4012804"|"Lifestyle-General"|"CuSo Article 3.0"|"1"|"240"|"/cs/farxiga"
"26"|"61338340"|"20170705"|"20170705"|"96124895"|"Lifestyle-General"|"CuSo Article 3.0"|"1"|"240"|"/cs/farxiga"
"26"|"61421941"|"20170705"|"20170705"|"4005787"|"Lifestyle-Symptom Management"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"61421941"|"20170705"|"20170705"|"96127085"|"Lifestyle-Symptom Management"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"61596870"|"20170705"|"20170705"|"4012804"|"Lifestyle-General"|"CuSo Article 3.0"|"1"|"240"|"/cs/farxiga"
"26"|"61596870"|"20170705"|"20170705"|"96124895"|"Lifestyle-General"|"CuSo Article 3.0"|"1"|"240"|"/cs/farxiga"
"26"|"61798361"|"20170705"|"20170705"|"4007385"|"Lifestyle-Fitness"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"61798361"|"20170705"|"20170705"|"96125979"|"Lifestyle-Fitness"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"61982684"|"20170705"|"20170705"|"4012804"|"Lifestyle-General"|"CuSo Article 3.0"|"1"|"240"|"/cs/farxiga"
"26"|"61982684"|"20170705"|"20170705"|"96124895"|"Lifestyle-General"|"CuSo Article 3.0"|"1"|"240"|"/cs/farxiga"
"26"|"62011807"|"20170705"|"20170705"|"4010633"|"Lifestyle-General"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"62011807"|"20170705"|"20170705"|"96124923"|"Lifestyle-General"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"62385178"|"20170705"|"20170705"|"4007209"|"Lifestyle-Nutrition"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"62385178"|"20170705"|"20170705"|"96127587"|"Lifestyle-Nutrition"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"62391736"|"20170703"|"20170705"|"4012804"|"Lifestyle-General"|"CuSo Article 3.0"|"2"|"240"|"/cs/farxiga"
"26"|"62391736"|"20170703"|"20170705"|"96067842"|"Lifestyle-General"|"CuSo Article 3.0"|"2"|"240"|"/cs/farxiga"
"26"|"62391736"|"20170704"|"20170705"|"4011970"|"Treatment-General"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"62391736"|"20170704"|"20170705"|"96095669"|"Treatment-General"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"62436429"|"20170630"|"20170705"|"4012804"|"Lifestyle-General"|"CuSo Article 3.0"|"1"|"240"|"/cs/farxiga"
"26"|"62436429"|"20170630"|"20170705"|"95985246"|"Lifestyle-General"|"CuSo Article 3.0"|"1"|"240"|"/cs/farxiga"
"26"|"62613832"|"20170705"|"20170705"|"4010633"|"Lifestyle-General"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"62613832"|"20170705"|"20170705"|"96124923"|"Lifestyle-General"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"62783016"|"20170704"|"20170705"|"4010633"|"Lifestyle-General"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"62783016"|"20170704"|"20170705"|"96095226"|"Lifestyle-General"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"62836489"|"20170704"|"20170705"|"4010633"|"Lifestyle-General"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"62836489"|"20170704"|"20170705"|"96095226"|"Lifestyle-General"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"62939048"|"20170704"|"20170705"|"4012804"|"Lifestyle-General"|"CuSo Article 3.0"|"1"|"240"|"/cs/farxiga"
"26"|"62939048"|"20170704"|"20170705"|"96095179"|"Lifestyle-General"|"CuSo Article 3.0"|"1"|"240"|"/cs/farxiga"
"26"|"63326729"|"20170702"|"20170705"|"4007385"|"Lifestyle-Fitness"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"63418391"|"20170702"|"20170705"|"4012804"|"Lifestyle-General"|"CuSo Article 3.0"|"1"|"240"|"/cs/farxiga"
"26"|"63418391"|"20170702"|"20170705"|"96037356"|"Lifestyle-General"|"CuSo Article 3.0"|"1"|"240"|"/cs/farxiga"
"26"|"63642761"|"20170705"|"20170705"|"4012804"|"Lifestyle-General"|"CuSo Article 3.0"|"1"|"240"|"/cs/farxiga"
"26"|"63642761"|"20170705"|"20170705"|"96124895"|"Lifestyle-General"|"CuSo Article 3.0"|"1"|"240"|"/cs/farxiga"
"26"|"63815242"|"20170705"|"20170705"|"4010633"|"Lifestyle-General"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"63815242"|"20170705"|"20170705"|"96124923"|"Lifestyle-General"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"64131134"|"20170705"|"20170705"|"4005787"|"Lifestyle-Symptom Management"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"64131134"|"20170705"|"20170705"|"96127085"|"Lifestyle-Symptom Management"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"64337165"|"20170705"|"20170705"|"4010633"|"Lifestyle-General"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"64337165"|"20170705"|"20170705"|"96124923"|"Lifestyle-General"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"64592487"|"20170705"|"20170705"|"4005788"|"Lifestyle-Fitness"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"64592487"|"20170705"|"20170705"|"96129083"|"Lifestyle-Fitness"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"64632814"|"20170705"|"20170705"|"4012804"|"Lifestyle-General"|"CuSo Article 3.0"|"1"|"240"|"/cs/farxiga"
"26"|"64632814"|"20170705"|"20170705"|"96124895"|"Lifestyle-General"|"CuSo Article 3.0"|"1"|"240"|"/cs/farxiga"
"26"|"64690767"|"20170625"|"20170705"|"4005788"|"Lifestyle-Fitness"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"64690767"|"20170625"|"20170705"|"95843505"|"Lifestyle-Fitness"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"64788241"|"20170705"|"20170705"|"4012804"|"Lifestyle-General"|"CuSo Article 3.0"|"1"|"240"|"/cs/farxiga"
"26"|"64788241"|"20170705"|"20170705"|"96124895"|"Lifestyle-General"|"CuSo Article 3.0"|"1"|"240"|"/cs/farxiga"
"26"|"64820764"|"20170705"|"20170705"|"4012804"|"Lifestyle-General"|"CuSo Article 3.0"|"1"|"240"|"/cs/farxiga"
"26"|"64820764"|"20170705"|"20170705"|"96124895"|"Lifestyle-General"|"CuSo Article 3.0"|"1"|"240"|"/cs/farxiga"
"26"|"64871687"|"20170705"|"20170705"|"4005787"|"Lifestyle-Symptom Management"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"64871687"|"20170705"|"20170705"|"96127085"|"Lifestyle-Symptom Management"|"Landing"|"1"|"240"|"/cs/farxiga"
